id_estacion,estacion_ruta,tipo_servicio,tipo_servicio_agrupado,zona_largo,zona,corredor_servicio,gps_latitud,gps_longitud,Nombre_estacion
187,UNIVERSIDADES,Estacion,Estacion,Zona 1 - Sur,Uno,Calle 5,3366904,"-76,528,819",Universidades
188,V. DEL SUR,Estacion,Estacion,Zona 6 - Simón Bolívar,Seis,Oriental,3410085,"-76,517,825",V. Del Sur
189,VERSALLES,Estacion,Estacion,Zona 2 - Menga,Dos,Avenida 3,3461207,"-76,527,029",Versalles
190,VILLA DEL LAGO,Estacion,Estacion,Zona 4 - Andrés Sanín,Cinco,Oriental,3441414,"-76,492,077",Villa Del Lago
191,VILLACOLOMBIA,Estacion,Estacion,Zona 4 - Andrés Sanín,Cuatro,Carrera 15,344387,"-76,498,911",Villacolombia
192,VILLANUEVA,Estacion,Estacion,Zona 8 - Calipso,Ocho,Aguablanca,3432175,"-76,510,363",Villanueva
193,VIPASA,Estacion,Estacion,Zona 2 - Menga,Dos,Avenida 3,3478612,"-76,517,007",Vipasa
194,E27,Rutas,Pretroncal,Zona 0 - Centro,Pretroncal,Ruta,0,0,E27
195,.,Sin Identificar,Sin Identificar,Sin Identificar,Sin Identificar,Sin Identificar,0,0,DEFAULT
196,E21,Rutas,Pretroncal,Zona 2 - Menga,Pretroncal,Ruta,0,0,E21
197,A10,Rutas,Alimentadoras,Zona 1 - Sur,Uno,Ruta,0,0,A10
198,A12E,Rutas,Alimentadoras,Zona 1 - Sur,Uno,Ruta,0,0,A12E
199,A12F,Rutas,Alimentadoras,Zona 1 - Sur,Uno,Ruta,0,0,A12F
200,A18B,Rutas,Alimentadoras,Zona 1 - Sur,Uno,Ruta,0,0,A18B
201,A23B,Rutas,Alimentadoras,Zona 2 - Menga,Dos,Ruta,0,0,A23B
202,A24,Rutas,Alimentadoras,Zona 2 - Menga,Dos,Ruta,0,0,A24
203,A34,Rutas,Alimentadoras,Zona 3 - Paso Del Comercio,Tres,Ruta,0,0,A34
204,A35,Rutas,Alimentadoras,Zona 3 - Paso Del Comercio,Tres,Ruta,0,0,A35
205,A41C,Rutas,Alimentadoras,Zona 4 - Andrés Sanín,Cuatro,Ruta,0,0,A41C
206,A44C,Rutas,Alimentadoras,Zona 4 - Andrés Sanín,Cuatro,Ruta,0,0,A44C
207,A45B,Rutas,Alimentadoras,Zona 4 - Andrés Sanín,Cuatro,Ruta,0,0,A45B
208,A53,Rutas,Alimentadoras,Zona 5 - Aguablanca,Cinco,Ruta,0,0,A53
209,A65,Rutas,Alimentadoras,Zona 6 - Simón Bolívar,Seis,Ruta,0,0,A65
210,A76,Rutas,Alimentadoras,Zona 7 - Cañaveralaejo,Siete,Ruta,0,0,A76
211,A77,Rutas,Alimentadoras,Zona 7 - Cañaveralaejo,Siete,Ruta,0,0,A77
212,A85,Rutas,Alimentadoras,Zona 8 - Calipso,Ocho,Ruta,0,0,A85
213,C01,Rutas,Pretroncal,Pretroncal,Pretroncal,Ruta,0,0,C01
214,C03,Rutas,Pretroncal,Pretroncal,Pretroncal,Ruta,0,0,C03
215,C302,Rutas,Pretroncal,Zona 3 - Paso Del Comercio,Pretroncal,Ruta,0,0,C302
216,C320,Rutas,Pretroncal,Zona 3 - Paso Del Comercio,Pretroncal,Ruta,0,0,C320
217,C417,Rutas,Pretroncal,Zona 4 - Andrés Sanín,Pretroncal,Ruta,0,0,C417
218,C471,Rutas,Pretroncal,Zona 4 - Andrés Sanín,Pretroncal,Ruta,0,0,C471
219,C502,Rutas,Pretroncal,Zona 5 - Aguablanca,Pretroncal,Ruta,0,0,C502
220,C520,Rutas,Pretroncal,Zona 5 - Aguablanca,Pretroncal,Ruta,0,0,C520
221,E27B,Rutas,Pretroncal,Zona 0 - Centro,Pretroncal,Ruta,0,0,E27B
222,E37,Rutas,Pretroncal,Zona 3 - Paso Del Comercio,Pretroncal,Ruta,0,0,E37
223,E41,Rutas,Pretroncal,Zona 4 - Andrés Sanín,Pretroncal,Ruta,0,0,E41
224,E52,Rutas,Pretroncal,Zona 3 - Paso Del Comercio,Pretroncal,Ruta,0,0,E52
225,P10B,Rutas,Pretroncal,Zona 6 - Simón Bolívar,Pretroncal,Ruta,0,0,P10B
226,P14B,Rutas,Pretroncal,Zona 4 - Andrés Sanín,Pretroncal,Ruta,0,0,P14B
227,P17,Rutas,Pretroncal,Zona 1 - Sur,Pretroncal,Ruta,0,0,P17
228,P24A,Rutas,Pretroncal,Zona 4 - Andrés Sanín,Pretroncal,Ruta,0,0,P24A
229,P24C,Rutas,Pretroncal,Zona 4 - Andrés Sanín,Pretroncal,Ruta,0,0,P24C
230,P30B,Rutas,Pretroncal,Zona 3 - Paso Del Comercio,Pretroncal,Ruta,0,0,P30B
231,P43,Rutas,Pretroncal,Zona 4 - Andrés Sanín,Pretroncal,Ruta,0,0,P43
232,P47C,Rutas,Pretroncal,Zona 5 - Aguablanca,Pretroncal,Ruta,0,0,P47C
233,P51,Rutas,Pretroncal,Zona 4 - Andrés Sanín,Pretroncal,Ruta,0,0,P51
234,P51A,Rutas,Pretroncal,Zona 5 - Aguablanca,Pretroncal,Ruta,0,0,P51A
235,P51B,Rutas,Pretroncal,Zona 5 - Aguablanca,Pretroncal,Ruta,0,0,P51B
236,P52A,Rutas,Pretroncal,Zona 5 - Aguablanca,Pretroncal,Ruta,0,0,P52A
237,P60D,Rutas,Pretroncal,Zona 6 - Simón Bolívar,Pretroncal,Ruta,0,0,P60D
238,P61,Rutas,Pretroncal,Zona 6 - Simón Bolívar,Pretroncal,Ruta,0,0,P61
239,P67,Rutas,Pretroncal,Zona 6 - Simón Bolívar,Pretroncal,Ruta,0,0,P67
240,P71,Rutas,Pretroncal,Zona 1 - Sur,Pretroncal,Ruta,0,0,P71
241,P72,Rutas,Pretroncal,Zona 3 - Paso Del Comercio,Pretroncal,Ruta,0,0,P72
242,P74,Rutas,Pretroncal,Zona 7 - Cañaveralaejo,Pretroncal,Ruta,0,0,P74
243,P76,Rutas,Pretroncal,Zona 7 - Cañaveralaejo,Pretroncal,Ruta,0,0,P76
244,P77,Rutas,Pretroncal,Zona 7 - Cañaveralaejo,Pretroncal,Ruta,0,0,P77
245,P80A,Rutas,Pretroncal,Zona 8 - Calipso,Pretroncal,Ruta,0,0,P80A
246,P83,Rutas,Pretroncal,Zona 8 - Calipso,Pretroncal,Ruta,0,0,P83
247,P84A,Rutas,Pretroncal,Zona 4 - Andrés Sanín,Pretroncal,Ruta,0,0,P84A
248,P84B,Rutas,Pretroncal,Zona 4 - Andrés Sanín,Pretroncal,Ruta,0,0,P84B
249,T37,Rutas,Pretroncal,Zona 3 - Paso Del Comercio,Pretroncal,Ruta,0,0,T37
250,T42,Rutas,Pretroncal,Zona 4 - Andrés Sanín,Pretroncal,Ruta,0,0,T42
251,T47A,Rutas,Pretroncal,Zona 4 - Andrés Sanín,Pretroncal,Ruta,0,0,T47A
252,T47B,Rutas,Pretroncal,Zona 4 - Andrés Sanín,Pretroncal,Ruta,0,0,T47B
253,T53,Rutas,Pretroncal,Zona 5 - Aguablanca,Pretroncal,Ruta,0,0,T53
254,T57A,Rutas,Pretroncal,Zona 5 - Aguablanca,Pretroncal,Ruta,0,0,T57A
255,TIERRA BLANCA,Mio_Cable,Estacion,Mio_Cable,Mio_Cable,Aerosuspendido,3419878,"-76,557,906",Tierra Blanca
256,PLAZA TOROS,Estacion,Estacion,Zona 7 - Cañaveralaejo,Siete,Calle 5,3409675,"-76,547,475",Plaza Toros
257,SANTA ROSA,Estacion,Estacion,Zona 0 - Centro,Cero,Calle 13,3447339,"-765,298",Santa Rosa
258,'.',Sin Identificar,Sin Identificar,Sin Identificar,Sin Identificar,Sin Identificar,0,0,DEFAULT
259,R713,Rutas,Reservas,Reservas,Reservas,Reservas,0,0,R713
260,R112,Rutas,Reservas,Reservas,Reservas,Reservas,0,0,R112
261,R722,Rutas,Reservas,Reservas,Reservas,Reservas,0,0,R722
262,R413,Rutas,Reservas,Reservas,Reservas,Reservas,0,0,R413
263,R512,Rutas,Reservas,Reservas,Reservas,Reservas,0,0,R512
264,SAL_BELA,Estacion,Estacion,Zona 0 - Centro,Cuatro,Carrera 15,3444142,"-76,520,745",Belalcazar
265,Atipico,Sin Identificar,Sin Identificar,Sin Identificar,Sin Identificar,Sin Identificar,0,0,Atipico
266,R412,Rutas,Reservas,Reservas,Reservas,Reservas,0,0,Atipico
500,A07B,Rutas,Alimentadoras,Zona 0 - Centro,Cero,Ruta,0,0,A07B
501,A13B,Rutas,Alimentadoras,Zona 1 - Sur,Uno,Ruta,0,0,A13B
502,F62,Rutas,Alimentadoras,Zona 6 - Simón Bolívar,Pretroncal,Ruta,0,0,F62
503,P52C,Rutas,Pretroncal,Zona 5 - Aguablanca,Pretroncal,Ruta,0,0,P52C
504,P53,Rutas,Pretroncal,Zona 5 - Aguablanca,Pretroncal,Ruta,0,0,P53
